Vehicle	Type
10008	e1
10010	e1
10011	e1
10012	e1
10013	e1
10014	e1
10015	e1
10016	e1
10019	e1
10020	e1
10021	e1
10022	e1
10023	e1
10024	e1
10025	e1
10028	e1
10029	e1
10030	e1
10031	e1
10032	e1
10033	e1
10034	e1
10035	e1
10036	e1
10038	e1
10039	e1
10040	e1
10041	e1
10042	e1
10043	e1
10044	e1
10045	e1
10046	e1
10047	e1
10048	e1
10049	e1
10091	e2
10092	e2
10093	e2
10094	e2
10095	e2
10096	e2
10097	e2
10098	e2
10099	e2
10114	e1
10116	e1
10120	e1
10186	e2
10187	e1
10200	e2
10201	e2
10202	e2
10203	e2
10204	e2
10205	e2
10206	e2
10207	e2
10208	e2
10209	e2
10210	e2
10211	e2
10212	e2
10213	e2
10214	e2
10215	e2
10216	e2
10217	e2
10218	e2
10219	e2
10260	e1
10261	e1
